time_s,r_sc_x,r_sc_y,r_sc_z,v_sc_x,v_sc_y,v_sc_z,r_lv_x,r_lv_y,r_lv_z,v_lv_x,v_lv_y,v_lv_z,relative_distance_m,relative_speed_mps,spring_force_N
0.3598758740509885,5736717.343608037,-936279.7812702458,3291582.951188296,-3438.1099013062208,2125.4449706432247,6596.686810002644,5736717.439523254,-936279.8406002565,3291582.7669640537,-3437.9064267244826,2125.3191079354365,6596.295996621698,0.21600544084951223,0.4582340290201647,0.0
0.3698758740509885,5736682.962125439,-936258.5267579356,3291648.9178363034,-3438.1866180291495,2125.4574913431675,6596.642791319271,5736683.060075402,-936258.5873465734,3291648.7297039274,-3437.983143448711,2125.3316286361814,6596.251977940812,0.22058778108233443,0.45823402610124353,0.0
0.3798758740509885,5736648.579875677,-936237.2721204199,3291714.8840441196,-3438.2633342922873,2125.4700117588727,6596.598771753733,5736648.679860386,-936237.3339676847,3291714.6920036096,-3438.0598597131752,2125.344149052706,6596.207958377814,0.2251701217123045,0.45823402312067296,0.0
0.3898758740509885,5736614.196858754,-936216.0173577014,3291780.8498117356,-3438.340050095623,2125.482531890339,6596.5547513060355,5736614.29887821,-936216.0804635932,3291780.653863092,-3438.1365755178654,2125.3566691850083,6596.163937932709,0.2297524619451267,0.4582340200790745,0.0
0.3998758740509885,5736579.813074676,-936194.7624697831,3291846.815139143,-3438.416765439147,2125.4950517375646,6596.510729976185,5736579.917128878,-936194.8268343019,3291846.6152823656,-3438.213290862771,2125.3691890330865,6596.119916605503,0.23433480217794891,0.4582340169757496,0.0
0.4098758740509885,5736545.428523447,-936173.5074566676,3291912.780026332,-3438.4934803228493,2125.5075713005476,6596.466707764187,5736545.534612394,-936173.5730798135,3291912.576261421,-3438.290005747882,2125.3817085969395,6596.075894396202,0.23891714199722594,0.45823401381134904,0.0
0.41987587405098853,5736511.043205071,-936152.2523183579,3291978.744473295,-3438.5701947467187,2125.5200905792867,6596.422684670048,5736511.151328764,-936152.3192001309,3291978.5368002504,-3438.3667201731873,2125.394227876565,6596.031871304812,0.24349948223004814,0.45823401058534685,0.0
0.42987587405098854,5736476.657119554,-936130.997054857,3292044.7084800224,-3438.6469087107453,2125.5326095737796,6596.378660693773,5736476.767277992,-936131.0651952568,3292044.4968988444,-3438.4434341386773,2125.4067468719613,6595.987847331338,0.24808182243089466,0.458234007298269,0.0
0.43987587405098855,5736442.270266899,-936109.7416661674,3292110.672046506,-3438.723622214918,2125.5451282840254,6596.334635835368,5736442.382460083,-936109.8110651943,3292110.4565571942,-3438.5201476443413,2125.419265583127,6595.943822475788,0.2526641622501717,0.4582340039493877,0.0
0.44987587405098856,5736407.882647111,-936088.4861522922,3292176.6351727364,-3438.8003352592277,2125.557646710022,6596.29061009484,5736407.996875041,-936088.5568099461,3292176.415775291,-3438.5968606901693,2125.4317840100607,6595.899796738166,0.2572465024510182,0.4582340005394306,0.0
0.45987587405098856,5736373.494260196,-936067.2305132342,3292242.597858705,-3438.877047843663,2125.5701648517675,6596.246583472195,5736373.610522871,-936067.302429515,3292242.3745531263,-3438.6735732761504,2125.4443021527604,6595.855770118478,0.26182884227029524,0.45823399706852275,0.0
0.4698758740509886,5736339.105106156,-936045.9747489961,3292308.560104403,-3438.9537599682144,2125.5826827092606,6596.2025559674385,5736339.223403577,-936046.047923904,3292308.332890691,-3438.7502854022746,2125.4568200112244,6595.811742616731,0.26641118208957226,0.4582339935366641,0.0
0.4798758740509886,5736304.715184998,-936024.7188595809,3292374.521909822,-3439.0304716328706,2125.5952002824993,6596.1585275805755,5736304.835517164,-936024.7932931158,3292374.290787976,-3438.8269970685315,2125.469337585451,6595.76771423293,0.2709935222904188,0.45823398994287706,0.0
0.4898758740509886,5736270.324496725,-936003.4628449915,3292440.483274952,-3439.1071828376216,2125.6077175714818,6596.114498311614,5736270.446863637,-936003.5385371533,3292440.2482449724,-3438.903708274911,2125.4818548754383,6595.723684967082,0.2755758624912653,0.4582339862885881,0.0
0.4998758740509886,5736235.9330413425,-935982.2067052305,3292506.444199785,-3439.1838935824576,2125.6202345762067,6596.0704681605575,5736236.057443,-935982.2836560193,3292506.205261672,-3438.980419021402,2125.494371881185,6595.6796548191915,0.28015820227856664,0.45823398257277453,0.0
0.5098758740509886,5736201.540818855,-935960.950440301,3292572.404684312,-3439.2606038673675,2125.6327512966723,6596.026437127413,5736201.667255258,-935961.0286497166,3292572.161838066,-3439.057129307995,2125.5068886026893,6595.635623789266,0.28474054166872015,0.4582339787950326,0.0
0.5198758740509886,5736167.147829267,-935939.6940502056,3292638.364728525,-3439.3373136923415,2125.645267732877,6595.982405212188,5736167.276300415,-935939.7735182482,3292638.117974145,-3439.1338391346794,2125.519405039949,6595.591591877311,0.2893228814560215,0.4582339749564648,0.0
0.5298758740509886,5736132.754072583,-935918.4375349473,3292704.3243324137,-3439.414023057369,2125.657783884819,6595.938372414886,5736132.884578477,-935918.5182616168,3292704.0736699,-3439.2105485014445,2125.531921192963,6595.547559083331,0.29390522124332286,0.45823397105682123,0.0
0.5398758740509886,5736098.359548808,-935897.1808945289,3292770.28349597,-3439.4907319624394,2125.6702997524962,6595.894338735514,5736098.492089447,-935897.2628798253,3292770.0289253234,-3439.2872574082803,2125.5444370617297,6595.503525407334,0.2984875606334763,0.458233967096025,0.0
0.5498758740509886,5736063.964257946,-935875.9241289531,3292836.2422191855,-3439.567440407543,2125.6828153359074,6595.850304174078,5736064.09883333,-935876.0073728765,3292835.983740405,-3439.3639658551765,2125.556952646247,6595.4594908493245,0.3030699004207777,0.4582339630735023,0.0
0.5598758740509886,5736029.5682000015,-935854.667238223,3292902.2005020506,-3439.6441483926687,2125.695330635051,6595.806268730584,5736029.704810131,-935854.7517407733,3292901.938115137,-3439.4406738421226,2125.569467946513,6595.415455409309,0.30765224022447635,0.4582339589898269,0.0
0.5698758740509886,5735995.171374979,-935833.4102223413,3292968.158344557,-3439.7208559178066,2125.7078456499253,6595.762232405037,5735995.310019854,-935833.4959835185,3292967.8920495105,-3439.517381369108,2125.581982962527,6595.371419087294,0.3122345796146298,0.458233954844425,0.0
0.5798758740509886,5735960.773782885,-935812.1530813109,3293034.115746696,-3439.797562982946,2125.7203603805283,6595.718195197444,5735960.914462505,-935812.2401011151,3293033.845543516,-3439.5940884361225,2125.5944976942865,6595.327381883285,0.3168169194019312,0.45823395063807226,0.0
0.5898758740509886,5735926.375423721,-935790.8958151346,3293100.072708458,-3439.8742695880774,2125.7328748268583,6595.674157107812,5735926.518138087,-935790.9840935656,3293099.798597145,-3439.670795043156,2125.60701214179,6595.283343797288,0.32139925917365414,0.4582339463706439,0.0
0.5998758740509886,5735891.976297494,-935769.6384238154,3293166.029229835,-3439.9509757331894,2125.745388988914,6595.630118136145,5735892.1210466055,-935769.7279608732,3293165.7512103887,-3439.747501190198,2125.619526305036,6595.239304829308,0.32598159853183195,0.45823394204218765,0.0
0.6098758740509886,5735857.576404208,-935748.3809073558,3293231.985310818,-3440.027681418272,2125.7579028666933,6595.586078282449,5735857.723188065,-935748.4717030405,3293231.7033832385,-3439.824206877238,2125.632040184022,6595.195264979352,0.33056393792198546,0.458233937652005,0.0
0.6198758740509887,5735823.175743868,-935727.123265759,3293297.940951398,-3440.104386643315,2125.7704164601946,6595.542037546731,5735823.3245624695,-935727.2153200705,3293297.6551156854,-3439.900912104266,2125.6445537787476,6595.1512242474255,0.3351462772801632,0.4582339332005447,0.0
0.6298758740509887,5735788.774316477,-935705.8654990275,3293363.8961515664,-3440.1810914083085,2125.7829297694166,6595.497995928997,5735788.925169825,-935705.9588119659,3293363.6064077206,-3439.9776168712715,2125.65706708921,6595.107182633535,0.33972861705188623,0.45823392868825846,0.0
0.6398758740509887,5735754.372122041,-935684.6076071645,3293429.850911314,-3440.257795713241,2125.7954427943573,6595.453953429252,5735754.525010134,-935684.7021787296,3293429.557259335,-3440.054321178244,2125.6695801154083,6595.063140137685,0.34431095637808834,0.45823392411481956,0.0
0.6498758740509887,5735719.969160564,-935663.3495901726,3293495.8052306324,-3440.3344995581033,2125.807955535015,6595.409910047501,5735720.124083403,-935663.4454203645,3293495.5076705203,-3440.1310250251736,2125.68209285734,6595.019096759883,0.34889329573626615,0.4582339194796542,0.0
0.6598758740509887,5735685.565432051,-935642.0914480548,3293561.7591095124,-3440.4112029428843,2125.820467991388,6595.365865783753,5735685.722389635,-935642.1885368734,3293561.457641267,-3440.207728412049,2125.6946053150045,6594.975052500135,0.35347563509444396,0.45823391478341313,0.0
0.6698758740509887,5735651.160936506,-935620.8331808137,3293627.7125479453,-3440.487905867574,2125.8329801634745,6595.321820638012,5735651.319928835,-935620.9315282592,3293627.4071715674,-3440.284431338861,2125.7071174883995,6594.931007358446,0.3580579740554739,0.4582339100254455,0.0
0.6798758740509887,5735616.755673935,-935599.5747884524,3293693.6655459222,-3440.564608332162,2125.845492051273,6595.277774610283,5735616.9167010095,-935599.6743945247,3293693.3562614117,-3440.3611338055985,2125.7196293775232,6594.8869613348215,0.362640313430049,0.45823390520632523,0.0
0.6898758740509887,5735582.349644341,-935578.3162709736,3293759.6181034343,-3440.641310336638,2125.858003654782,6595.233727700574,5735582.5127061615,-935578.4171356726,3293759.304910791,-3440.4378358122513,2125.732140982374,6594.842914429269,0.36722265277264843,0.45823390032625416,0.0
0.6998758740509887,5735547.942847729,-935557.0576283803,3293825.570220473,-3440.7180118809915,2125.870514973999,6595.18967990889,5735548.107944295,-935557.1597517059,3293825.2531196973,-3440.514537358809,2125.7446523029503,6594.798866641793,0.37180499170170267,0.4582338953851074,0.0
0.7098758740509887,5735513.535284104,-935535.7988606751,3293891.5218970296,-3440.794712965212,2125.883026008923,6595.145631235237,5735513.702415415,-935535.9022426275,3293891.200888121,-3440.5912384452613,2125.7571633392504,6594.754817972401,0.37638733063075697,0.4582338903820322,0.0
0.7198758740509887,5735479.1269534705,-935514.539967861,3293957.473133095,-3440.8714135892897,2125.895536759552,6595.101581679621,5735479.296119527,-935514.6446084401,3293957.148216054,-3440.667939071598,2125.7696740912725,6594.710768421098,0.3809696695598112,0.4582338853180063,0.0
0.7298758740509887,5735444.7178558335,-935493.2809499409,3294023.4239286603,-3440.9481137532134,2125.908047225885,6595.057531242048,5735444.889056635,-935493.3868491466,3294023.0951034864,-3440.7446392378088,2125.7821845590147,6594.66671798789,0.3855520084568898,0.45823388019295247,0.0
0.7398758740509888,5735410.307991197,-935472.0218069175,3294089.374283717,-3441.0248134569733,2125.9205574079197,6595.013479922523,5735410.481226744,-935472.1289647499,3294089.0415504104,-3440.8213389438833,2125.7946947424757,6594.6226666727825,0.39013434738594405,0.4582338750058454,0.0
0.7498758740509888,5735375.897359566,-935450.7625387937,3294155.324198256,-3441.101512700559,2125.9330673056543,6594.969427721054,5735376.072629858,-935450.8709552527,3294154.987556817,-3440.898038189811,2125.8072046416537,6594.578614475782,0.3947166858858748,0.4582338697577875,0.0
0.7598758740509888,5735341.485960945,-935429.5031455724,3294221.2736722683,-3441.1782114839602,2125.9455769190877,6594.925374637645,5735341.663265982,-935429.6128206579,3294220.9331226973,-3440.9747369755814,2125.8197142565473,6594.534561396895,0.39929902438580545,0.4582338644487789,0.0
0.7698758740509888,5735307.073795338,-935408.2436272564,3294287.2227057456,-3441.2549098071663,2125.9580862482176,6594.881320672303,5735307.25313512,-935408.3545609685,3294286.878248042,-3441.0514353011845,2125.832223587154,6594.490507436126,0.4038813628693389,0.45823385907861747,0.0
0.7798758740509888,5735272.66086275,-935386.9839838485,3294353.171298679,-3441.331607670167,2125.9705952930426,6594.837265825034,5735272.842237277,-935387.0961761872,3294352.8229328427,-3441.12813316661,2125.844732633473,6594.446452593482,0.40846370176641744,0.4582338536465277,0.0
0.7898758740509888,5735238.247163186,-935365.7242153515,3294419.1194510595,-3441.4083050729523,2125.983104053561,6594.793210095843,5735238.430572458,-935365.8376663168,3294418.7671770905,-3441.204830571847,2125.8572413955026,6594.402396868968,0.41304604066349604,0.45823384815413787,0.0
0.7998758740509888,5735203.83269665,-935344.4643217684,3294485.0671628783,-3441.485002015512,2125.9956125297713,6594.749153484737,5735204.018140667,-935344.5790313602,3294484.7109807767,-3441.281527516886,2125.8697498732404,6594.358340262591,0.4176283795605746,0.4582338426001465,0.0
0.8098758740509888,5735169.417463147,-935323.2043031019,3294551.0144341267,-3441.5616984978346,2126.0081207216713,6594.705095991721,5735169.604941909,-935323.3202713203,3294550.654343893,-3441.358224001716,2125.882258066685,6594.314282774357,0.4222107180605053,0.4582338369841018,0.0
0.8198758740509888,5735135.001462681,-935301.9441593549,3294616.9612647956,-3441.638394519911,2126.0206286292596,6594.661037616801,5735135.1909761885,-935302.0613861998,3294616.5972664296,-3441.434920026327,2125.894765975835,6594.270224404271,0.4267930565284604,0.4582338313069044,0.0
0.8298758740509888,5735100.584695258,-935280.6838905303,3294682.9076548764,-3441.71509008173,2126.033136252535,6594.6169783599835,5735100.77624351,-935280.8023760016,3294682.539748378,-3441.511615590708,2125.9072736006883,6594.2261651523395,0.4313753945828702,0.45823382556888115,0.0
0.8398758740509888,5735066.167160882,-935259.4234966309,3294748.85360436,-3441.791785183282,2126.045643591495,6594.572918221274,5735066.3607438775,-935259.5432407287,3294748.4817897296,-3441.5883106948495,2125.9197809412435,6594.182105018568,0.43595773263728005,0.45823381976978217,0.0
0.8498758740509889,5735031.748859556,-935238.1629776594,3294814.7991132378,-3441.8684798245563,2126.058150646138,6594.52885720068,5735031.944477297,-935238.2839803838,3294814.4233904756,-3441.6650053387407,2125.932287997499,6594.138044002963,0.4405400707400629,0.45823381390953044,0.0
0.8598758740509889,5734997.329791287,-935216.9023336188,3294880.744181501,-3441.9451740055424,2126.070657416463,6594.484795298206,5734997.527443773,-935217.0245949697,3294880.364550607,-3441.7416995223716,2125.9447947694525,6594.093982105531,0.445122409208018,0.458233807988126,0.0
0.8698758740509889,5734962.909956078,-935195.641564512,3294946.688809141,-3442.02186772623,2126.0831639024677,6594.440732513858,5734963.109643308,-935195.7650844894,3294946.305270115,-3441.8183932457314,2125.957301257103,6594.049919326277,0.44970474686527995,0.45823380200499514,0.0
0.8798758740509889,5734928.489353934,-935174.3806703418,3295012.6329961484,-3442.098560986609,2126.0956701041505,6594.396668847642,5734928.691075909,-935174.5054489456,3295012.2455489906,-3441.89508650881,2125.969807460449,6594.005855665207,0.45428708452254196,0.4582337959605866,0.0
0.8898758740509889,5734894.06798486,-935153.119651111,3295078.576742515,-3442.1752537866687,2126.1081760215097,6594.3526042995645,5734894.271741579,-935153.2456883411,3295078.1853872254,-3441.971779311597,2125.982313379488,6593.961791122327,0.45886942214782833,0.4582337898552273,0.0
0.8998758740509889,5734859.64584886,-935131.8585068224,3295144.5200482314,-3442.251946126399,2126.120681654544,6594.308538869631,5734859.851640324,-935131.9858026789,3295144.12478481,-3442.0484716540823,2125.9948190142186,6593.917725697643,0.4634517601866598,0.45823378368884016,0.0
0.9098758740509889,5734825.222945939,-935110.5972374788,3295210.462913289,-3442.32863800579,2126.1331870032514,6594.264472557847,5734825.430772148,-935110.7257919618,3295210.063741736,-3442.125163536255,2126.0073243646393,6593.873659391161,0.46803409825746695,0.4582337774606017,0.0
0.9198758740509889,5734790.799276101,-935089.3358430832,3295276.4053376797,-3442.40532942483,2126.14569206763,6594.220405364218,5734791.009137055,-935089.4656561925,3295276.002257995,-3442.2018549581053,2126.0198294307484,6593.829592202887,0.4726164358827532,0.45823377117043473,0.0
0.9298758740509889,5734756.3748393515,-935068.0743236385,3295342.3473213934,-3442.4820203835097,2126.1581968476785,6594.176337288752,5734756.58673505,-935068.2053953741,3295341.9403335773,-3442.2785459196225,2126.032334212544,6593.785524132827,0.4771987735244369,0.45823376481989075,0.0
0.9398758740509889,5734721.949635695,-935046.8126791472,3295408.288864422,-3442.5587108818186,2126.170701343395,6594.132268331453,5734722.163566138,-935046.9450095092,3295407.8779684748,-3442.3552364207967,2126.0448387100246,6593.741455180987,0.48178111075257535,0.4582337584074184,0.0
0.9498758740509889,5734687.523665136,-935025.5509096126,3295474.229966757,-3442.635400919746,2126.183205554778,6594.088198492328,5734687.739630323,-935025.6844986008,3295473.8151626782,-3442.431926461617,2126.0573429231886,6593.697385347373,0.48636344794873815,0.4582337519338704,0.0
0.959875874050989,5734653.096927678,-935004.2890150371,3295540.170628389,-3442.712090497282,2126.1957094818254,6594.044127771383,5734653.31492761,-935004.4238626517,3295539.751916179,-3442.5086160420733,2126.069846852034,6593.65331463199,0.4909457851768766,0.4582337453991696,0.0
0.969875874050989,5734618.669423327,-934983.0269954238,3295606.1108493092,-3442.7887796144164,2126.208213124536,6594.000056168623,5734618.889458003,-934983.1631016647,3295605.688228968,-3442.5853051621552,2126.0823504965597,6593.609243034844,0.4955281228185602,0.45823373880351803,0.0
0.979875874050989,5734584.241152087,-934961.7648507756,3295672.050629509,-3442.865468271138,2126.220716482908,6593.955983684054,5734584.463221508,-934961.9022156427,3295671.6241010367,-3442.661993821853,2126.094853856763,6593.565170555943,0.5001104600147229,0.45823373214573615,0.0
0.989875874050989,5734549.812113963,-934940.5025810952,3295737.9899689797,-3442.942156467437,2126.2332195569393,6593.911910317684,5734550.036218128,-934940.6412045886,3295737.559532376,-3442.738682021155,2126.107356932643,6593.521097195291,0.5046927972108858,0.4582337254270035,0.0
0.999875874050989,5734515.382308959,-934919.2401863855,3295803.9288677126,-3443.0188442033036,2126.2457223466286,6593.867836069517,5734515.608447869,-934919.3800685051,3295803.4945229776,-3442.815369760052,2126.1198597241982,6593.477022952895,0.5092751348205937,0.45823371864719514,0.0
1.009875874050989,5734480.951737081,-934897.9776666493,3295869.8673256985,-3443.0955314787266,2126.2582248519743,6593.823760939559,5734481.179910735,-934898.1188073951,3295869.429072832,-3442.892057038533,2126.132362231426,6593.43294782876,0.5138574720167565,0.4582337118063589,0.0
1.019875874050989,5734446.520398332,-934876.7150218894,3295935.8053429285,-3443.172218293696,2126.2707270729748,6593.779684927817,5734446.750606731,-934876.8574212615,3295935.3631819314,-3442.968743856588,2126.1448644543257,6593.388871822893,0.5184398088157713,0.4582337049037963,0.0
1.029875874050989,5734412.088292717,-934855.4522521087,3296001.7429193943,-3443.248904648201,2126.283229009628,6593.735608034295,5734412.32053586,-934855.595910107,3296001.296850266,-3443.0454302142066,2126.157366392895,6593.3447949352985,0.5230221460119342,0.458233697939879,0.0
1.039875874050989,5734377.655420241,-934834.1893573101,3296067.6800550865,-3443.325590542232,2126.2957306619323,6593.691530259001,5734377.889698128,-934834.3342739346,3296067.2300778273,-3443.1221161113785,2126.1698680471322,6593.300717165984,0.5276044828109491,0.45823369091488597,0.0
1.049875874050989,5734343.221780908,-934812.9263374964,3296133.6167499963,-3443.402275975778,2126.3082320298863,6593.647451601941,5734343.45809354,-934813.072512747,3296133.1628646064,-3443.1988015480933,2126.182369417036,6593.256638514954,0.5321868195779883,0.45823368382874025,0.0
1.059875874050989,5734308.787374724,-934791.6631926704,3296199.5530041154,-3443.4789609488294,2126.320733113488,6593.603372063119,5734309.0257220995,-934791.8106265472,3296199.0952105946,-3443.2754865243405,2126.1948705026048,6593.212558982215,0.5367691563450275,0.4582336766816437,0.0
